stage,stage_name,tracking_mode,pid_tid_cache,threads,size,duration,baseline_ops,with_hook_ops,overhead_pct,segment,count,total_cycles,avg_cycles,total_ns,avg_ns,profile_log,consumer_log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,guard,1232542,174544082,141.61,72729770.48,59.01,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,record_alloc_total,308135,25460776936,82628.64,10609104827.19,34430.05,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,record_free_total,308137,21774600728,70665.32,9073133246.25,29445.13,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,writer_mutex_wait,616264,35365992500,57387.73,14736452178.70,23912.56,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,writer_mutex_hold,616264,7590198732,12316.47,3162716291.39,5132.08,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,sample_filter,308135,75841712,246.13,31602047.14,102.56,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,tracking_insert,308135,614965664,1995.77,256246508.54,831.60,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,tracking_lookup,308129,188212546,610.82,78425204.20,254.52,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,tracking_erase,308129,465475214,1510.65,193956192.00,629.46,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,record_fill,616264,64930964,105.36,27055710.25,43.90,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,metadata_clock,616882,145831640,236.40,60765748.03,98.50,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,metadata_pid,616883,1965306682,3185.87,818912347.39,1327.50,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,metadata_tid,616882,1948684766,3158.93,811986256.73,1316.27,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,thread_name,618,2755572,4458.85,1148203.46,1857.93,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,ring_index_check,616882,169477944,274.73,70618790.55,114.48,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,shm_record_copy,616882,88303722,143.15,36794770.47,59.65,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,atomic_index_update,616882,158980234,257.72,66244560.10,107.39,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,notify,30844,218026250,7068.68,90848105.19,2945.41,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,connection,308135,47060904,152.73,19609537.65,63.64,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
