row_kind,backend,mode,mode_name,tracking_mode,pid_tid_cache,alloc_pattern,repeat_index,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_probe_ops,overhead_pct,records_or_events,malloc_events,calloc_events,realloc_events,free_events,alloc_records,free_records,unmatched_free,ringbuf_drops,observed_events,logs
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,mixed3,2,1,32,5,20,1,-1,0,12011266.40,586703.40,95.1154,6851720,3911361,0,0,2933519,3911361,2933519,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_mixed3_r2_t1_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,mixed3,2,1,32,5,20,1,-1,0,12011266.40,149626.80,98.7543,1745665,498761,249379,249378,748147,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_mixed3_r2_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,mixed3,2,1,32,5,20,1,-1,0,12011266.40,141529.20,98.8217,943534,471769,235883,235882,707659,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_mixed3_r2_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,mixed3,2,1,32,5,20,1,-1,0,12011266.40,138363.00,98.8481,1614243,461215,230606,230605,691828,922426,691817,9,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_mixed3_r2_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,mixed3,2,1,32,5,20,1,-1,0,12011266.40,111018.60,99.0757,1295225,370067,185032,185031,555106,740130,555095,9,0,1295225,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_mixed3_r2_t1_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,mixed3,2,4,32,5,20,1,-1,0,9402736.20,9402736.20,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,mixed3,2,4,32,5,20,1,-1,0,9402736.20,45185.80,99.5194,527700,301243,0,0,225926,301243,225926,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_mixed3_r2_t4_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,mixed3,2,4,32,5,20,1,-1,0,9402736.20,249034.00,97.3515,2908313,1660235,0,0,1245172,1660235,1245172,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_mixed3_r2_t4_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,mixed3,2,4,32,5,20,1,-1,0,9402736.20,459878.20,95.1091,5365308,1532936,766467,766463,2299442,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_mixed3_r2_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,mixed3,2,4,32,5,20,1,-1,0,9402736.20,447428.60,95.2415,2982868,1491437,745718,745713,2237195,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_mixed3_r2_t4_s32_d5.loader.log;
